TP,TN,FP,FN,Precision,Recall,F1 Score,Avg Prompt Tokens,Avg Completion Tokens,Avg Total Tokens,Avg Latency,Folder,Model,Difficulty,FT_or_Baseline,,,,,,,,,,,,
24,0,226,76,0.096,0.24,0.137142857,95.64,73.16,168.8,1.44301907,test0_11_09_2024,03-May,easy,baseline,,TP,TN,FP,FN,Precision,Recall,F1 Score,Avg Prompt Tokens,Avg Completion Tokens,Avg Total Tokens,Avg Latency
21,0,229,79,0.084,0.21,0.12,95.64,82.54,178.18,1.524606748,test1_13_03_2025,03-May,easy,baseline,,23,0,226.75,152,0.092088353,0.1595,0.111329802,95.64,75.735,171.375,1.333292965
25,0,225,225,0.1,0.1,0.1,95.64,71.22,166.86,1.170559126,test2_18_3_2025,03-May,easy,baseline,,,,,,,,,,,,
22,0,227,228,0.088353414,0.088,0.088176353,95.64,76.02,171.66,1.194986918,test3_19_03_2025,03-May,easy,baseline,,,,,,,,,,,,
96,127,27,4,0.780487805,0.96,0.860986547,95.64,55.82,151.46,2.731136846,test0_11_09_2024,03-May,easy,ft,,117.75,95.25,37,19.75,0.774560976,0.912,0.836192825,95.64,56.755,152.395,1.942068574
99,127,24,1,0.804878049,0.99,0.887892377,95.64,57.4,153.04,2.389401992,test1_13_03_2025,03-May,easy,ft,,,,,,,,,,,,
99,127,24,1,0.804878049,0.99,0.887892377,95.64,60.56,156.2,1.328478228,test2_18_3_2025,03-May,easy,ft,,,,,,,,,,,,
177,0,73,73,0.708,0.708,0.708,95.64,53.24,148.88,1.31925723,test3_19_03_2025,03-May,easy,ft,,,,,,,,,,,,
18,63,127,82,0.124137931,0.18,0.146938776,94,129.86,223.86,1.566859032,test0_11_09_2024,4omini,easy,baseline,,21,41.25,137.75,116.5,0.132045512,0.18,0.1479483,94,127.72,221.72,2.17374195
23,48,147,77,0.135294118,0.23,0.17037037,94,125.46,219.46,2.147515898,test1_13_03_2025,4omini,easy,baseline,,,,,,,,,,,,
23,54,137,77,0.14375,0.23,0.176923077,94,126.4,220.4,2.200944824,test2_18_3_2025,4omini,easy,baseline,,,,,,,,,,,,
20,0,140,230,0.125,0.08,0.097560976,94,129.16,223.16,2.779648046,test3_19_03_2025,4omini,easy,baseline,,,,,,,,,,,,
100,150,0,0,1,1,1,94,44.28,138.28,1.780295736,test0_11_09_2024,4omini,easy,ft,,125,112.5,12.5,12.5,0.95,0.95,0.95,94,45.03,139.03,2.635505932
100,150,0,0,1,1,1,94,45.28,139.28,4.485396178,test1_13_03_2025,4omini,easy,ft,,,,,,,,,,,,
100,150,0,0,1,1,1,94,45.28,139.28,1.778533926,test2_18_3_2025,4omini,easy,ft,,,,,,,,,,,,
200,0,50,50,0.8,0.8,0.8,94,45.28,139.28,2.49779789,test3_19_03_2025,4omini,easy,ft,,,,,,,,,,,,
29,1,208,218,0.122362869,0.117408907,0.119834711,125.86,124.74,250.6,2.267097824,test0_11_09_2024,03-May,hard,baseline,,27,0.25,207.25,220.75,0.115255878,0.108995951,0.112033946,125.86,123.855,249.715,2.026109148
26,0,203,221,0.113537118,0.105263158,0.109243697,125.86,125.18,251.04,1.617509608,test1_13_03_2025,03-May,hard,baseline,,,,,,,,,,,,
27,0,206,220,0.115879828,0.109311741,0.1125,125.86,120.72,246.58,2.457487846,test2_18_3_2025,03-May,hard,baseline,,,,,,,,,,,,
